Location Code,County,Area Name,Region,School Years,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Area Type,Street Address,City,State,Zip Code,Location 1
580107,SUFFOLK,DEER PARK UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,109,21.1,91,17.6,200,38.7,MIDDLE/HIGH,SCHOOL DISTRICT,1881 DEER PARK AVE,DEER PARK,NY,11729,"(40.7604, -73.329)"
640601,WASHINGTON,FORT EDWARD UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2016-2018,31,21.8,34,23.9,65,45.8,ELEMENTARY,SCHOOL DISTRICT,220 BROADWAY,FORT EDWARD,NY,12828,"(43.2737, -73.5869)"
580504,SUFFOLK,SAYVILLE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,44,17.1,30,11.7,74,28.9,MIDDLE/HIGH,SCHOOL DISTRICT,99 GREELEY AVE,SAYVILLE,NY,11782,"(40.738, -73.0876)"
280407,NASSAU,GREAT NECK UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2010-2012,125,15.1,75,9.1,200,24.2,ELEMENTARY,SCHOOL DISTRICT,345 LAKEVILLE RD,GREAT NECK,NY,11020,"(40.7624, -73.7044)"
621001,ULSTER,MARLBORO CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,40,14.6,48,17.5,88,32.1,ELEMENTARY,SCHOOL DISTRICT,1510 RTE 9W-STE 201,MARLBORO,NY,12542,"(41.6037, -73.9891)"
471601,OTSEGO,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,19,17.1,22,19.8,41,36.9,MIDDLE/HIGH,SCHOOL DISTRICT,2641 STATE HWY 7,OTEGO,NY,13825,"(42.3705, -75.2243)"
260803,MONROE,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,185,16.7,41,3.7,226,20.4,MIDDLE/HIGH,SCHOOL DISTRICT,321 LIST AVE,ROCHESTER,NY,14617,"(43.2166, -77.5929)"
140703,ERIE,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,53,17.8,46,15.5,99,33.3,ELEMENTARY,SCHOOL DISTRICT,105 MAPLEVIEW RD,CHEEKTOWAGA,NY,14225,"(42.9417, -78.7831)"
80101,CHENANGO,AFTON CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2014-2016,21,33.8,14,22.5,35,56.4,MIDDLE/HIGH,SCHOOL DISTRICT,29 ACADEMY ST,AFTON,NY,13730,"(42.2305, -75.5277)"
20702,ALLEGANY,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2014-2016,22,25.8,18,21.1,40,47.0,MIDDLE/HIGH,SCHOOL DISTRICT,1 JAGUAR DR,BELMONT,NY,14813,"(42.2319, -77.986)"
